post_id,post_date,update_date,longitude,latitude,description,condition,manufacturer,model_name,size,image,url
5961630135,2017-01-16 11:36am,2017-01-30 11:07am,-73.921600,40.837600,"
         
I have a mamas & papas irbo stroller dor sale. I have used this stroller for 3 months now & it's still in excellent condition. This stroller is also a seat which you can sit the child & sit him in restaurant chairs as well. Perfectly well stroller. Reason I'm selling it is because I have 2 strollers.  
I am selling this stroller for 300 or better offer. PRICE IS NEGOTIABLE.    ",new,Mamas & papaa,Urbo,,"[{'id': u'cgztJpOFHxU', 'original': u'https://images.craigslist.org/00C0C_cgztJpOFHxU_600x450.jpg', 'thumb': u'https://images.craigslist.org/00C0C_cgztJpOFHxU_50x50c.jpg'}, {'id': u'fCGhomhqIve', 'original': u'https://images.craigslist.org/00b0b_fCGhomhqIve_600x450.jpg', 'thumb': u'https://images.craigslist.org/00b0b_fCGhomhqIve_50x50c.jpg'}, {'id': u'74rFLHCD8vS', 'original': u'https://images.craigslist.org/00K0K_74rFLHCD8vS_600x450.jpg', 'thumb': u'https://images.craigslist.org/00K0K_74rFLHCD8vS_50x50c.jpg'}]",http://newyork.craigslist.org/brx/bab/5961630135.html
5981722048,2017-01-30  9:18am,,-73.932230,40.683833,"
         
From busy city streets to winding country roads; from an afternoon feeding the ducks in the park to retail therapy - the VISTA takes your child on the road in style. Designed to grow with your child, the VISTA is the ideal strolling solution from birth through the toddler years. It adapts easily to your growing family with solutions for a big brother or sister. 
 
There's a lot for your little one to see -- get out there and get strolling! 
 
Bassinet: Suitable from birth to 6 months 
Toddler Seat: Suitable from 3 months to 50 lbs. 
Easy one-step fold--with or without the seat attached 
Welded and formed aircraft aluminum alloy frame 
Includes both bassinet and seat--completely interchangeable and requires no fabric swapping 
One-button handle-height adjustment 
Added rubber bumpers to protect the stroller handlebar in standing position 
Smooth-rolling ""no-flat"" foam and rubber wheels 
Elevated seat/bassinet height brings you closer to your child 
Removable bumper bar cover 
Floating arch ""no kick"" rear axle 
Red/green successful attachment indicators 
Convenient zip-in rain shield and mesh bug shield included 
Ventilated bassinet canopy and aerated mattress for air flow 
All-natural bassinet liner of cotton + soybean fiber 
Removable, washable and interchangeable fabric 
Easy to activate brake system 
Shock-absorbing front + rear suspension 
Stands when folded 
    ",like new,UPPAbaby,Vista Stroller Olivia (Pink),,[{'original': u'https://images.craigslist.org/00W0W_dZbDyAgSYZ_600x450.jpg'}],http://newyork.craigslist.org/brk/for/5981722048.html
5981834018,2017-01-30 10:34am,,,,"
         
VERY COOL VINTAGE BILT-RITE STROLLER.  MEASURES 23 INCHES HIGH.  MISSING CUSION INSIDE.   
  
    ",,BILT-RITE,,,"[{'id': u'97pImEXiz5D', 'original': u'https://images.craigslist.org/00a0a_97pImEXiz5D_600x450.jpg', 'thumb': u'https://images.craigslist.org/00a0a_97pImEXiz5D_50x50c.jpg'}, {'id': u'4ke9Ycv4qj0', 'original': u'https://images.craigslist.org/00c0c_4ke9Ycv4qj0_600x450.jpg', 'thumb': u'https://images.craigslist.org/00c0c_4ke9Ycv4qj0_50x50c.jpg'}, {'id': u'bDks5hEn5gW', 'original': u'https://images.craigslist.org/00707_bDks5hEn5gW_600x450.jpg', 'thumb': u'https://images.craigslist.org/00707_bDks5hEn5gW_50x50c.jpg'}, {'id': u'ci5yc8WH9kj', 'original': u'https://images.craigslist.org/00F0F_ci5yc8WH9kj_600x450.jpg', 'thumb': u'https://images.craigslist.org/00F0F_ci5yc8WH9kj_50x50c.jpg'}, {'id': u'b6mJGr39O0F', 'original': u'https://images.craigslist.org/00c0c_b6mJGr39O0F_600x450.jpg', 'thumb': u'https://images.craigslist.org/00c0c_b6mJGr39O0F_50x50c.jpg'}]",http://newyork.craigslist.org/wch/bab/5981834018.html
5981829456,2017-01-30 10:31am,,-73.811100,40.702900,"
         
For Sale: 
 
Graco Duoglider Multi- Child Stroller 
 
*Brand new condition/not opened 
*Accepts two infant car seats 
*Children can sit in the front and rear seats of this stroller or stand on the rear platform 
*Removable rear seat converts stroller to traditional Sit N Stand 
*One hand fold is fast and easy to use 
*Removable/Swing away child tray with cup holder 
*Covered parent tray with 2-cup holders 
 
If interested in buying, email or call! 
    ",new,Graco,SS76072A,,"[{'id': u'bg3bSdJq52J', 'original': u'https://images.craigslist.org/00K0K_bg3bSdJq52J_600x450.jpg', 'thumb': u'https://images.craigslist.org/00K0K_bg3bSdJq52J_50x50c.jpg'}, {'id': u'119JLryETbA', 'original': u'https://images.craigslist.org/00X0X_119JLryETbA_600x450.jpg', 'thumb': u'https://images.craigslist.org/00X0X_119JLryETbA_50x50c.jpg'}]",http://newyork.craigslist.org/que/bab/5981829456.html
5975207343,2017-01-25  3:15pm,2017-01-30 10:42am,,,"
         
We are selling a pre-owned Bugaboo Stroller Organizer. Asking price is $15.00 (price is firm). This is being sold as-is. 
 
- We are located in Mamaroneck, NY 
- Please serious inquiries only 
 
Thank you!    ",excellent,Bugaboo,,,"[{'id': u'5ZUl2viARrK', 'original': u'https://images.craigslist.org/00N0N_5ZUl2viARrK_600x450.jpg', 'thumb': u'https://images.craigslist.org/00N0N_5ZUl2viARrK_50x50c.jpg'}, {'id': u'hCu60XtkEsS', 'original': u'https://images.craigslist.org/01717_hCu60XtkEsS_600x450.jpg', 'thumb': u'https://images.craigslist.org/01717_hCu60XtkEsS_50x50c.jpg'}]",http://newyork.craigslist.org/wch/bab/5975207343.html
5961630480,2017-01-16 11:36am,2017-01-30 11:07am,-73.921600,40.837600,"
         
I have a Mamas & Papas Armadillo stroller for sale. This is one of the best strollers I have had. The reason I am selling this stroller is because we have 2 and only use 1.  
We only used this stroller no more than 1 time.  
The selling price for this stroller is 200.00 cash. I will meet you to deliver it to you.  
Very compact, light, & folds easily & quickly.  
The color is all black. The oics are just to show you how it folds, PRICE IS NEGOTIABLE    ",new,,,,,http://newyork.craigslist.org/brx/bab/5961630480.html
5959842415,2017-01-14  9:59pm,2017-01-30 11:14am,,,"
         
UPPAbaby Vista 2013 Stroller (orange/black), in very good condition, for sale $400 with all the following accessories included. The accessories are: 
 
- UPPAbaby Vista 2013 bassinet 
- UPPAbaby Vista 2013 PiggyBack (retail price $89.99--sold separately $50) 
- UPPAbaby Vista 2013 Ganoosh Footmuff (retail price $99.99--sold separately $40)    ",good,UPPAbaby,Vista,,"[{'id': u'lDITBMwELhd', 'original': u'https://images.craigslist.org/00707_lDITBMwELhd_600x450.jpg', 'thumb': u'https://images.craigslist.org/00707_lDITBMwELhd_50x50c.jpg'}, {'id': u'd37A9tpb5D7', 'original': u'https://images.craigslist.org/00H0H_d37A9tpb5D7_600x450.jpg', 'thumb': u'https://images.craigslist.org/00H0H_d37A9tpb5D7_50x50c.jpg'}, {'id': u'gXXwWWeJFPN', 'original': u'https://images.craigslist.org/00404_gXXwWWeJFPN_600x450.jpg', 'thumb': u'https://images.craigslist.org/00404_gXXwWWeJFPN_50x50c.jpg'}]",http://newyork.craigslist.org/brk/bab/5959842415.html
5964394830,2017-01-18  8:19am,2017-01-30 11:22am,-73.116300,40.767800,"
         
Beautiful original Pedigree stroller 
Has original bag and coverings. Great for restoring or use as is. Rare 
$275    ",,,,,,http://newyork.craigslist.org/lgi/atq/5964394830.html
5981926687,2017-01-30 11:25am,,-74.017467,40.705270,"
         
Selling together our 7AM Blanket 212 Evolution Footmuff and WarMMuffs 200 Stroller Gloves for $120. They're both in black. It's in great (and very clean) condition. It's well maintained and rarely used. From a pet free and smoke free apartment. Pick up from a doorman building. 
 
https://www.buybuybaby.com/store/product/7-a-m-reg-enfant-blanket-212-evolution-trade/117719?skuId=15633263&mcid=PS_googlepla_nonbrand_activity_&adpos=1o2&creative=87525615900&device=c&matchtype=&network=g&product_id=15633263&gclid=CNTjyeuh6tECFYKEswod8-AMNw 
 
https://www.amazon.com/M-Enfant-WarMMuffs-Stroller-Gloves/dp/B008VUMKF4?th=1 
 
 
 
    ",,,,,"[{'id': u'ltsO2tSvDQe', 'original': u'https://images.craigslist.org/00V0V_ltsO2tSvDQe_600x450.jpg', 'thumb': u'https://images.craigslist.org/00V0V_ltsO2tSvDQe_50x50c.jpg'}, {'id': u'iMVKXB9viWL', 'original': u'https://images.craigslist.org/00D0D_iMVKXB9viWL_600x450.jpg', 'thumb': u'https://images.craigslist.org/00D0D_iMVKXB9viWL_50x50c.jpg'}]",http://newyork.craigslist.org/mnh/bab/5981926687.html
5941802429,2017-01-02  8:05am,2017-01-30 11:16am,-73.894901,41.218565,"
         
THIS IS A CHICCO LITE WAY STROLLER IN EXCELLENT CONDITION.  THIS IS A POPULAR MODEL THAT IS STILL SOLD IN DIFFERENT COLORS.   
 
THIS IS A GREAT UMBRELLA STROLLER !!! 
 
IT IS FROM A SMOKE FREE, PET FREE, CRITTER FREE HOME. 
 
IT SELLS FOR $140 NEW SO BUY IT HERE ON CL AND SAVE MONEY !!!! 
 
THE STROLLER COLORS ARE RED AND PINK. 
 
IT RECLINES AND FOLDS EASILY AND IS EASY TO MOVE AND STORE. 
 
THIS IS A QUALITY STROLLER AND IS A $100 CASH SALE IN CROTON ON HUDSON, NY. 
 
    ",like new,,,,"[{'id': u'cgSsTo8L4TB', 'original': u'https://images.craigslist.org/00r0r_cgSsTo8L4TB_600x450.jpg', 'thumb': u'https://images.craigslist.org/00r0r_cgSsTo8L4TB_50x50c.jpg'}, {'id': u'lQOr73pEMIq', 'original': u'https://images.craigslist.org/00c0c_lQOr73pEMIq_600x450.jpg', 'thumb': u'https://images.craigslist.org/00c0c_lQOr73pEMIq_50x50c.jpg'}, {'id': u'h8APp7zQRv2', 'original': u'https://images.craigslist.org/00W0W_h8APp7zQRv2_600x450.jpg', 'thumb': u'https://images.craigslist.org/00W0W_h8APp7zQRv2_50x50c.jpg'}, {'id': u'37LP5WYLetf', 'original': u'https://images.craigslist.org/00Q0Q_37LP5WYLetf_600x450.jpg', 'thumb': u'https://images.craigslist.org/00Q0Q_37LP5WYLetf_50x50c.jpg'}, {'id': u'g36UZsxf6W7', 'original': u'https://images.craigslist.org/00707_g36UZsxf6W7_600x450.jpg', 'thumb': u'https://images.craigslist.org/00707_g36UZsxf6W7_50x50c.jpg'}, {'id': u'h2TkkuBPpjO', 'original': u'https://images.craigslist.org/00H0H_h2TkkuBPpjO_600x450.jpg', 'thumb': u'https://images.craigslist.org/00H0H_h2TkkuBPpjO_50x50c.jpg'}, {'id': u'Bgi22Loazi', 'original': u'https://images.craigslist.org/00e0e_Bgi22Loazi_600x450.jpg', 'thumb': u'https://images.craigslist.org/00e0e_Bgi22Loazi_50x50c.jpg'}, {'id': u'lVJxJD8z52n', 'original': u'https://images.craigslist.org/00A0A_lVJxJD8z52n_600x450.jpg', 'thumb': u'https://images.craigslist.org/00A0A_lVJxJD8z52n_50x50c.jpg'}, {'id': u'iA0RrSDJzY6', 'original': u'https://images.craigslist.org/00e0e_iA0RrSDJzY6_600x450.jpg', 'thumb': u'https://images.craigslist.org/00e0e_iA0RrSDJzY6_50x50c.jpg'}, {'id': u'9op5NLQWKq6', 'original': u'https://images.craigslist.org/00A0A_9op5NLQWKq6_600x450.jpg', 'thumb': u'https://images.craigslist.org/00A0A_9op5NLQWKq6_50x50c.jpg'}, {'id': u'40mzgAyU1E9', 'original': u'https://images.craigslist.org/00F0F_40mzgAyU1E9_600x450.jpg', 'thumb': u'https://images.craigslist.org/00F0F_40mzgAyU1E9_50x50c.jpg'}, {'id': u'Z3Ap9NGfAQ', 'original': u'https://images.craigslist.org/00g0g_Z3Ap9NGfAQ_600x450.jpg', 'thumb': u'https://images.craigslist.org/00g0g_Z3Ap9NGfAQ_50x50c.jpg'}, {'id': u'40Ru82UWB6D', 'original': u'https://images.craigslist.org/00H0H_40Ru82UWB6D_600x450.jpg', 'thumb': u'https://images.craigslist.org/00H0H_40Ru82UWB6D_50x50c.jpg'}, {'id': u'j5n6a8qLFGq', 'original': u'https://images.craigslist.org/00Z0Z_j5n6a8qLFGq_600x450.jpg', 'thumb': u'https://images.craigslist.org/00Z0Z_j5n6a8qLFGq_50x50c.jpg'}, {'id': u'e1YovU3xvu2', 'original': u'https://images.craigslist.org/00g0g_e1YovU3xvu2_600x450.jpg', 'thumb': u'https://images.craigslist.org/00g0g_e1YovU3xvu2_50x50c.jpg'}]",http://newyork.craigslist.org/wch/bab/5941802429.html
5971526933,2017-01-23  8:39am,2017-01-30 11:27am,-73.893871,41.218565,"
         
THIS IS A CHICCO LITE WAY STROLLER IN EXCELLENT CONDITION.  
 
IT IS A POPULAR MODEL THAT IS STILL SOLD IN DIFFERENT COLORS.    
 
THIS UMBRELLA STROLLER FOLDS EASILY. 
 
IT IS FROM A SMOKE FREE, PET FREE, CRITTER FREE HOME. 
 
IT SELLS FOR $140 NEW SO BUY IT HERE ON CL AND SAVE MONEY !!!! 
 
THE STROLLER COLORS ARE RED AND PINK. 
 
IT RECLINES AND FOLDS EASILY AND IS EASY TO MOVE AND STORE. 
 
THIS IS A QUALITY STROLLER AND IS A $100 CASH SALE IN CROTON ON HUDSON, NY.    ",like new,,,,"[{'id': u'cgSsTo8L4TB', 'original': u'https://images.craigslist.org/00r0r_cgSsTo8L4TB_600x450.jpg', 'thumb': u'https://images.craigslist.org/00r0r_cgSsTo8L4TB_50x50c.jpg'}, {'id': u'bN7A5FtCQF', 'original': u'https://images.craigslist.org/00W0W_bN7A5FtCQF_600x450.jpg', 'thumb': u'https://images.craigslist.org/00W0W_bN7A5FtCQF_50x50c.jpg'}, {'id': u'33janazP8g0', 'original': u'https://images.craigslist.org/00E0E_33janazP8g0_600x450.jpg', 'thumb': u'https://images.craigslist.org/00E0E_33janazP8g0_50x50c.jpg'}, {'id': u'7CQPMiC5wxR', 'original': u'https://images.craigslist.org/00y0y_7CQPMiC5wxR_600x450.jpg', 'thumb': u'https://images.craigslist.org/00y0y_7CQPMiC5wxR_50x50c.jpg'}, {'id': u'9op5NLQWKq6', 'original': u'https://images.craigslist.org/00A0A_9op5NLQWKq6_600x450.jpg', 'thumb': u'https://images.craigslist.org/00A0A_9op5NLQWKq6_50x50c.jpg'}, {'id': u'Z3Ap9NGfAQ', 'original': u'https://images.craigslist.org/00g0g_Z3Ap9NGfAQ_600x450.jpg', 'thumb': u'https://images.craigslist.org/00g0g_Z3Ap9NGfAQ_50x50c.jpg'}, {'id': u'40mzgAyU1E9', 'original': u'https://images.craigslist.org/00F0F_40mzgAyU1E9_600x450.jpg', 'thumb': u'https://images.craigslist.org/00F0F_40mzgAyU1E9_50x50c.jpg'}, {'id': u'37LP5WYLetf', 'original': u'https://images.craigslist.org/00Q0Q_37LP5WYLetf_600x450.jpg', 'thumb': u'https://images.craigslist.org/00Q0Q_37LP5WYLetf_50x50c.jpg'}, {'id': u'j5n6a8qLFGq', 'original': u'https://images.craigslist.org/00Z0Z_j5n6a8qLFGq_600x450.jpg', 'thumb': u'https://images.craigslist.org/00Z0Z_j5n6a8qLFGq_50x50c.jpg'}, {'id': u'9AGddAhK9q2', 'original': u'https://images.craigslist.org/00L0L_9AGddAhK9q2_600x450.jpg', 'thumb': u'https://images.craigslist.org/00L0L_9AGddAhK9q2_50x50c.jpg'}, {'id': u'Bgi22Loazi', 'original': u'https://images.craigslist.org/00e0e_Bgi22Loazi_600x450.jpg', 'thumb': u'https://images.craigslist.org/00e0e_Bgi22Loazi_50x50c.jpg'}, {'id': u'9VytwTeXlTu', 'original': u'https://images.craigslist.org/01515_9VytwTeXlTu_600x450.jpg', 'thumb': u'https://images.craigslist.org/01515_9VytwTeXlTu_50x50c.jpg'}, {'id': u'iA0RrSDJzY6', 'original': u'https://images.craigslist.org/00e0e_iA0RrSDJzY6_600x450.jpg', 'thumb': u'https://images.craigslist.org/00e0e_iA0RrSDJzY6_50x50c.jpg'}, {'id': u'lQOr73pEMIq', 'original': u'https://images.craigslist.org/00c0c_lQOr73pEMIq_600x450.jpg', 'thumb': u'https://images.craigslist.org/00c0c_lQOr73pEMIq_50x50c.jpg'}]",http://newyork.craigslist.org/wch/bab/5971526933.html
5981944826,2017-01-30 11:36am,2017-01-30 11:36am,-73.972848,40.685675,"
         
We have an older basic Bugaboo infant bassinet stroller with frame, bassinet, canopy for sale in good preowned condition. A solid smooth riding stroller for $140 cash or best offer. 
Usually for babies 0-6 months. This stroller can be also adapted for babies to sit up with Chameleon seat fabric.  
 
What's included:  
 
-stroller frame with wheels 
-detachable seat 
-bassinet fabric (tan) 
-canopy fabric (tan) 
-detachable carry handle (needs new clips) 
 
Details: 
-has safety features including wrist strap and locking wheel lever by the handle 
-frame folds in half 
-infant bassinet detaches from the stroller frame so you can carry the baby in it with the carrying handle.  
-stroller converts to a sit up stroller if you switch in Chamaeleon fabric seat on the frame.  
 
Newer tires, rides smooth.  
 
Pick up by Cubesmart in Clinton Hill/Prospect Heights, near Fulton/Atlantic; Grand Ave 
 
Please email me if you're interested along with any questions, best times you can meet and your # mobile number; also whether you prefer phone or text.   
 
I respond quickly.  
 
Thanks!    ",good,Bugaboo,Frog / Chameleon,,,http://newyork.craigslist.org/brk/bab/5981944826.html
5972642798,2017-01-23  8:20pm,,-73.906900,40.745000,"
         
Selling Graco Snugrider Elite stroller/car seat carrier in mint condition. Includes a built-in cup holder. Retail value $85 (Car seat not included)  
 
Turns your car seat into an ultra-portable travel solution and is the only car seat carrier engineered exclusively for Graco seats 
Ultra-lightweight aluminum car seat stroller frame is the perfect infant car seat accessory, providing convenience on-the-go 
Car seat travel cart works with all Graco infant car seats (including both Classic Connect and Click Connect seats) 
 
 
https://www.amazon.com/Graco-Snugrider-Elite-Stroller-Carrier/dp/B00UVW3WHK/ref=sr_1_fkmr0_1_a_it?ie=UTF8&qid=1478277713&sr=8-1-fkmr0&keywords=GrGraco+Snugrider+Elite+carrier%2Fstroller+frameaco+Snugrider+Elite+carrier%2Fstroller+frame    ",like new,Graco,Snugride Elite Stroller,,"[{'id': u'hLOYJYPhhKT', 'original': u'https://images.craigslist.org/00h0h_hLOYJYPhhKT_600x450.jpg', 'thumb': u'https://images.craigslist.org/00h0h_hLOYJYPhhKT_50x50c.jpg'}, {'id': u'hME9XLPTp0i', 'original': u'https://images.craigslist.org/00x0x_hME9XLPTp0i_600x450.jpg', 'thumb': u'https://images.craigslist.org/00x0x_hME9XLPTp0i_50x50c.jpg'}]",http://newyork.craigslist.org/que/bab/5972642798.html
5981903856,2017-01-30 11:13am,,-73.781200,40.780700,"
         
Baby Jogger Citi Mini Single Stroller - green (olive), includes parent console and extra rubber handle cover  
 
- fantastic condition 
 
Great for all road surfaces! 
 
$90 
 
About the Product: 
- Patented one-hand Quick-Fold Technology - allows you to fold your stroller in one simple step 
-  8"" lightweight quick-release EVA wheels with sealed ball bearings and front wheel suspension, lockable swivel front wheel for long distance strolling 
- One-step reclining seat to a near flat position with mesh back and retractable weather cover 
- Multi-position sun canopy with peek-a-boo window 
 
    ",like new,,,,"[{'id': u'aEfRmP59ZtR', 'original': u'https://images.craigslist.org/00C0C_aEfRmP59ZtR_600x450.jpg', 'thumb': u'https://images.craigslist.org/00C0C_aEfRmP59ZtR_50x50c.jpg'}, {'id': u'2tK75X6oi0w', 'original': u'https://images.craigslist.org/00y0y_2tK75X6oi0w_600x450.jpg', 'thumb': u'https://images.craigslist.org/00y0y_2tK75X6oi0w_50x50c.jpg'}, {'id': u'7fyoYQ4yH94', 'original': u'https://images.craigslist.org/00K0K_7fyoYQ4yH94_600x450.jpg', 'thumb': u'https://images.craigslist.org/00K0K_7fyoYQ4yH94_50x50c.jpg'}, {'id': u'4YkjWPzmF7L', 'original': u'https://images.craigslist.org/00y0y_4YkjWPzmF7L_600x450.jpg', 'thumb': u'https://images.craigslist.org/00y0y_4YkjWPzmF7L_50x50c.jpg'}, {'id': u'ftmith1OOMx', 'original': u'https://images.craigslist.org/00D0D_ftmith1OOMx_600x450.jpg', 'thumb': u'https://images.craigslist.org/00D0D_ftmith1OOMx_50x50c.jpg'}]",http://newyork.craigslist.org/que/bab/5981903856.html
